,Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
176,Male,Urban,Under Graduate,19.0,7.0,Laptop,Rich,6.0,5.0,Yes,No,4.0,9.0,2.0,Yes,No,No,91-100,3.0,3.0,Practical,10.0,Good
178,Male,Urban,Under Graduate,20.0,8.0,Laptop,Middle Class,3.0,4.0,Yes,No,7.0,8.0,2.0,No,Yes,No,91-100,4.0,3.0,Practical,8.0,Average
180,Female,Urban,Under Graduate,18.0,8.0,Laptop,Middle Class,5.0,4.0,No,No,3.0,8.0,3.0,Yes,No,No,71-80,1.0,1.0,Practical,7.0,Average
181,Female,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,5.0,3.0,No,Yes,8.0,6.0,5.0,No,Yes,No,81-90,1.0,1.0,Both,5.0,Average
182,Male,Urban,Under Graduate,20.0,7.0,Laptop,Rich,4.0,4.0,Yes,No,1.0,8.0,6.0,No,No,No,71-80,2.0,1.0,Theory,5.0,Bad
183,Male,Rural,Under Graduate,19.0,7.0,Laptop,Middle Class,4.0,5.0,Yes,No,4.0,5.0,1.0,Yes,No,No,81-90,3.0,3.0,Both,8.0,Average
184,Male,Urban,School,19.0,5.0,Laptop,Middle Class,3.0,3.0,No,Yes,1.0,6.0,1.0,No,Yes,No,71-80,1.0,2.0,Practical,6.0,Bad
185,Male,Urban,Under Graduate,21.0,4.0,Laptop,Rich,4.0,5.0,Yes,No,2.0,8.0,1.0,No,No,No,91-100,3.0,5.0,Both,10.0,Good
186,Male,Urban,Under Graduate,20.0,6.0,Laptop,Middle Class,5.0,5.0,No,Yes,2.0,8.0,3.0,No,Yes,No,61-70,1.0,1.0,Practical,5.0,Bad
187,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,3.0,5.0,No,No,8.0,7.0,1.0,Yes,No,No,81-90,2.0,2.0,Practical,7.0,Average
188,Male,Urban,Under Graduate,18.0,8.0,Mobile,Middle Class,5.0,4.0,No,Yes,4.0,7.0,2.0,Yes,No,No,71-80,3.0,1.0,Both,7.0,Average
189,Male,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,5.0,5.0,No,No,2.0,7.0,1.0,Yes,Yes,No,91-100,2.0,1.0,Both,8.0,Bad
190,Female,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,4.0,5.0,No,Yes,6.0,7.0,2.0,No,Yes,No,91-100,3.0,3.0,Practical,8.0,Average
192,Male,Urban,Under Graduate,21.0,7.0,Laptop,Middle Class,4.0,4.0,No,No,4.0,6.0,1.0,Yes,Yes,No,71-80,2.0,2.0,Practical,9.0,Average
193,Male,Urban,Under Graduate,18.0,5.0,Laptop,Middle Class,4.0,4.0,Yes,No,7.0,7.0,2.0,Yes,Yes,No,91-100,3.0,3.0,Both,7.0,Average
194,Female,Urban,Under Graduate,22.0,6.0,Laptop,Middle Class,3.0,5.0,Yes,No,5.0,7.0,2.0,No,Yes,No,71-80,3.0,1.0,Theory,7.0,Bad
195,Male,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,3.0,5.0,Yes,Yes,7.0,4.0,3.0,Yes,Yes,yes,91-100,3.0,2.0,Both,8.0,Average
196,Female,Urban,Under Graduate,19.0,3.0,Laptop,Middle Class,5.0,5.0,No,Yes,9.0,7.0,1.0,No,Yes,yes,71-80,3.0,3.0,Both,8.0,Good
197,Male,Urban,Under Graduate,17.0,6.0,Laptop,Middle Class,4.0,5.0,Yes,Yes,5.0,7.0,1.0,Yes,Yes,No,81-90,4.0,4.0,Practical,8.0,Average
198,Female,Urban,School,20.0,7.0,Laptop,Middle Class,5.0,5.0,No,No,4.0,5.0,2.0,No,Yes,yes,81-90,2.0,3.0,Both,5.0,Average
200,Male,Rural,School,17.0,5.0,Desktop,Middle Class,6.0,4.0,No,Yes,5.0,10.0,6.0,Yes,Yes,yes,61-70,3.0,3.0,Practical,6.0,Average
201,Female,Urban,Under Graduate,20.0,8.0,Laptop,Middle Class,3.0,4.0,No,No,6.0,8.0,1.0,No,No,No,71-80,3.0,2.0,Both,8.0,Bad
202,Female,Urban,Under Graduate,19.0,6.0,Laptop,Middle Class,3.0,4.0,No,No,9.0,7.0,2.0,No,Yes,No,91-100,2.0,3.0,Theory,7.0,Average
203,Male,Urban,Under Graduate,20.0,11.0,Laptop,Middle Class,4.0,5.0,No,No,5.0,7.0,3.0,No,No,No,81-90,3.0,2.0,Theory,8.0,Good
204,Female,Urban,School,18.0,6.0,Laptop,Middle Class,6.0,4.0,No,Yes,4.0,9.0,5.0,No,No,No,91-100,3.0,3.0,Both,10.0,Average
205,Female,Urban,School,19.0,3.0,Laptop,Middle Class,4.0,5.0,Yes,No,8.0,6.0,3.0,No,Yes,yes,71-80,3.0,4.0,Theory,7.0,Good
206,Female,Rural,Under Graduate,19.0,7.0,Mobile,Poor,6.0,2.0,No,Yes,6.0,5.0,2.0,Yes,No,yes,71-80,5.0,5.0,Theory,10.0,Good
207,Female,Rural,Under Graduate,21.0,5.0,Laptop,Middle Class,3.0,2.0,No,No,5.0,7.0,4.0,No,No,yes,81-90,2.0,3.0,Both,6.0,Bad
209,Female,Urban,Under Graduate,18.0,8.0,Laptop,Middle Class,4.0,5.0,No,Yes,6.0,7.0,4.0,Yes,No,yes,91-100,1.0,1.0,Both,7.0,Average
210,Female,Urban,Under Graduate,19.0,6.0,Mobile,Middle Class,4.0,4.0,No,No,3.0,8.0,1.0,No,Yes,yes,71-80,3.0,4.0,Theory,8.0,Average
212,Male,Urban,Under Graduate,19.0,7.0,Laptop,Middle Class,4.0,4.0,Yes,No,2.0,7.0,4.0,No,Yes,No,91-100,3.0,2.0,Both,6.0,Bad
213,Male,Urban,Under Graduate,19.0,6.0,Laptop,Middle Class,3.0,3.0,Yes,No,4.0,6.0,3.0,Yes,Yes,No,91-100,3.0,3.0,Both,8.0,Average
215,Male,Urban,Under Graduate,19.0,5.0,Laptop,Middle Class,4.0,5.0,Yes,No,5.0,8.0,2.0,Yes,Yes,yes,81-90,2.0,3.0,Both,10.0,Bad
216,Male,Urban,Under Graduate,19.0,5.0,Laptop,Rich,3.0,5.0,No,No,4.0,7.0,3.0,Yes,Yes,No,91-100,3.0,3.0,Theory,7.0,Average
217,Female,Urban,Post Graduate,19.0,7.0,Laptop,Middle Class,4.0,3.0,Yes,No,1.0,4.0,6.0,Yes,Yes,yes,81-90,4.0,1.0,Practical,4.0,Bad
218,Male,Urban,Under Graduate,19.0,9.0,Laptop,Middle Class,6.0,5.0,Yes,Yes,8.0,7.0,1.0,No,Yes,No,91-100,2.0,1.0,Both,8.0,Bad
219,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,3.0,4.0,No,No,4.0,7.0,4.0,Yes,Yes,No,91-100,4.0,4.0,Both,9.0,Average
220,Female,Urban,Under Graduate,18.0,7.0,Laptop,Middle Class,4.0,5.0,Yes,Yes,3.0,10.0,2.0,Yes,Yes,No,91-100,4.0,3.0,Practical,7.0,Average
221,Male,Urban,School,20.0,7.0,Laptop,Middle Class,4.0,5.0,Yes,Yes,3.0,6.0,2.0,Yes,Yes,No,91-100,1.0,1.0,Both,5.0,Bad
222,Male,Urban,Under Graduate,20.0,8.0,Laptop,Middle Class,5.0,4.0,Yes,Yes,3.0,8.0,5.0,Yes,No,No,61-70,3.0,3.0,Practical,6.0,Good
223,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,5.0,4.0,Yes,Yes,3.0,6.0,4.0,Yes,Yes,No,71-80,2.0,2.0,Practical,4.0,Average
224,Male,Urban,Under Graduate,19.0,7.0,Laptop,Middle Class,4.0,5.0,No,No,4.0,6.0,1.0,No,Yes,yes,81-90,3.0,3.0,Both,8.0,Average
225,Male,Urban,Under Graduate,21.0,9.0,Laptop,Middle Class,5.0,5.0,Yes,No,4.0,7.0,1.0,No,Yes,No,81-90,3.0,3.0,Both,8.0,Bad
226,Male,Urban,Under Graduate,19.0,7.0,Laptop,Middle Class,4.0,4.0,No,No,5.0,8.0,2.0,Yes,Yes,yes,81-90,3.0,2.0,Practical,7.0,Bad
227,Female,Urban,Under Graduate,19.0,7.0,Laptop,Middle Class,3.0,3.0,Yes,No,3.0,5.0,4.0,No,Yes,No,81-90,3.0,2.0,Practical,5.0,Average
228,Male,Rural,School,19.0,7.0,Mobile,Middle Class,4.0,2.0,No,Yes,3.0,6.0,1.0,Yes,No,No,81-90,2.0,4.0,Theory,7.0,Average
230,Male,Urban,Under Graduate,17.0,5.0,Laptop,Middle Class,4.0,3.0,No,Yes,2.0,7.0,1.0,Yes,Yes,yes,81-90,2.0,3.0,Both,5.0,Bad
231,Male,Urban,School,17.0,5.0,Laptop,Middle Class,4.0,5.0,Yes,No,2.0,8.0,3.0,Yes,Yes,yes,71-80,3.0,3.0,Theory,7.0,Average
232,Male,Urban,Under Graduate,18.0,7.0,Laptop,Middle Class,6.0,5.0,No,No,4.0,6.0,2.0,Yes,No,yes,71-80,3.0,2.0,Practical,6.0,Bad
233,Male,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,3.0,4.0,Yes,No,3.0,6.0,2.0,No,No,yes,71-80,3.0,3.0,Both,7.0,Good
234,Female,Rural,Under Graduate,19.0,7.0,Mobile,Middle Class,4.0,3.0,No,Yes,7.0,6.0,1.0,No,No,No,91-100,3.0,3.0,Practical,8.0,Average
235,Male,Urban,School,18.0,7.0,Laptop,Middle Class,3.0,4.0,No,Yes,4.0,6.0,2.0,Yes,Yes,No,91-100,4.0,4.0,Practical,6.0,Average
237,Male,Urban,Under Graduate,20.0,7.0,Mobile,Middle Class,3.0,4.0,Yes,Yes,3.0,7.0,1.0,Yes,Yes,No,81-90,3.0,2.0,Practical,7.0,Bad
238,Male,Urban,Under Graduate,17.0,5.0,Laptop,Middle Class,4.0,3.0,Yes,No,2.0,5.0,2.0,Yes,Yes,yes,81-90,3.0,2.0,Both,6.0,Bad
239,Male,Urban,Under Graduate,20.0,8.0,Laptop,Middle Class,5.0,4.0,No,No,4.0,5.0,3.0,No,Yes,No,81-90,4.0,4.0,Both,8.0,Good
240,Female,Urban,Under Graduate,17.0,6.0,Laptop,Middle Class,5.0,4.0,No,No,8.0,4.0,2.0,Yes,Yes,yes,81-90,2.0,1.0,Both,7.0,Bad
244,Male,Rural,Under Graduate,19.0,6.0,Laptop,Middle Class,4.0,3.0,Yes,Yes,4.0,7.0,1.0,Yes,Yes,No,81-90,3.0,3.0,Both,6.0,Average
245,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,4.0,5.0,No,No,2.0,5.0,5.0,Yes,No,yes,81-90,3.0,3.0,Practical,6.0,Average
248,Male,Rural,Under Graduate,20.0,8.0,Mobile,Middle Class,5.0,2.0,No,Yes,3.0,5.0,1.0,No,No,No,71-80,1.0,4.0,Both,4.0,Average
249,Male,Urban,Under Graduate,20.0,8.0,Laptop,Middle Class,4.0,4.0,Yes,Yes,2.0,7.0,2.0,No,No,yes,71-80,2.0,2.0,Practical,5.0,Average
251,Male,Urban,Under Graduate,18.0,8.0,Laptop,Middle Class,4.0,2.0,Yes,No,3.0,7.0,1.0,Yes,No,yes,61-70,3.0,1.0,Practical,7.0,Bad
252,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,4.0,3.0,Yes,Yes,3.0,7.0,2.0,Yes,Yes,yes,81-90,3.0,3.0,Both,6.0,Average
253,Female,Urban,Under Graduate,20.0,8.0,Laptop,Middle Class,4.0,3.0,No,Yes,1.0,5.0,1.0,Yes,No,No,81-90,4.0,3.0,Practical,7.0,Average
254,Male,Rural,Under Graduate,19.0,7.0,Laptop,Middle Class,4.0,3.0,No,Yes,2.0,7.0,4.0,No,Yes,No,81-90,2.0,3.0,Theory,7.0,Average
256,Male,Urban,Under Graduate,18.0,5.0,Laptop,Middle Class,4.0,4.0,Yes,No,2.0,5.0,3.0,Yes,No,yes,81-90,2.0,3.0,Practical,4.0,Bad
258,Male,Urban,Under Graduate,19.0,7.0,Laptop,Middle Class,3.0,4.0,Yes,Yes,4.0,6.0,2.0,No,Yes,yes,81-90,3.0,2.0,Practical,8.0,Bad
259,Female,Urban,Under Graduate,19.0,5.0,Mobile,Middle Class,6.0,5.0,No,No,8.0,8.0,5.0,Yes,Yes,No,71-80,4.0,4.0,Practical,10.0,Good
261,Male,Urban,Under Graduate,20.0,7.0,Laptop,Rich,5.0,4.0,No,Yes,3.0,5.0,3.0,No,No,No,71-80,4.0,2.0,Both,7.0,Average
262,Male,Urban,Under Graduate,18.0,8.0,Laptop,Middle Class,4.0,4.0,Yes,Yes,3.0,6.0,2.0,No,No,No,81-90,1.0,1.0,Both,5.0,Average
263,Female,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,5.0,5.0,No,Yes,5.0,6.0,3.0,No,Yes,yes,51-60,3.0,4.0,Theory,7.0,Average
264,Female,Rural,Under Graduate,17.0,6.0,Laptop,Middle Class,4.0,2.0,No,No,3.0,7.0,2.0,Yes,Yes,No,71-80,3.0,3.0,Practical,7.0,Good
265,Male,Urban,School,18.0,6.0,Laptop,Middle Class,4.0,3.0,No,Yes,4.0,7.0,1.0,No,Yes,No,81-90,1.0,3.0,Practical,6.0,Bad
266,Female,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,3.0,5.0,No,Yes,5.0,7.0,3.0,No,Yes,No,91-100,5.0,5.0,Both,10.0,Good
269,Female,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,4.0,5.0,Yes,No,4.0,8.0,3.0,No,Yes,No,71-80,3.0,1.0,Both,7.0,Average
270,Male,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,5.0,4.0,No,No,10.0,10.0,4.0,No,Yes,No,71-80,4.0,5.0,Both,10.0,Good
271,Female,Urban,Under Graduate,18.0,5.0,Mobile,Middle Class,6.0,4.0,No,Yes,6.0,5.0,2.0,No,No,No,81-90,3.0,3.0,Theory,7.0,Average
272,Male,Urban,School,18.0,7.0,Laptop,Middle Class,4.0,5.0,No,Yes,10.0,4.0,1.0,No,Yes,No,91-100,4.0,3.0,Theory,9.0,Good
273,Male,Urban,Under Graduate,18.0,4.0,Laptop,Middle Class,4.0,5.0,No,Yes,6.0,7.0,2.0,Yes,Yes,yes,71-80,3.0,5.0,Practical,8.0,Average
274,Male,Urban,Under Graduate,18.0,5.0,Laptop,Middle Class,4.0,4.0,No,Yes,3.0,7.0,4.0,Yes,Yes,No,81-90,3.0,3.0,Practical,6.0,Average
275,Male,Urban,Under Graduate,20.0,8.0,Laptop,Middle Class,6.0,3.0,Yes,Yes,6.0,6.0,1.0,No,Yes,No,91-100,4.0,3.0,Both,6.0,Good
276,Male,Rural,Under Graduate,21.0,8.0,Mobile,Middle Class,5.0,4.0,No,Yes,2.0,8.0,2.0,No,Yes,yes,61-70,3.0,3.0,Both,6.0,Good
277,Male,Urban,Under Graduate,19.0,9.0,Laptop,Middle Class,4.0,5.0,Yes,Yes,6.0,8.0,1.0,Yes,Yes,yes,81-90,5.0,3.0,Practical,5.0,Bad
278,Female,Urban,Under Graduate,18.0,7.0,Laptop,Middle Class,4.0,4.0,No,Yes,3.0,6.0,5.0,No,Yes,No,61-70,2.0,5.0,Both,7.0,Good
279,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,5.0,2.0,Yes,Yes,2.0,6.0,2.0,No,No,yes,81-90,3.0,3.0,Practical,6.0,Average
280,Male,Urban,School,19.0,6.0,Laptop,Middle Class,4.0,5.0,No,Yes,3.0,7.0,4.0,Yes,Yes,yes,71-80,3.0,1.0,Theory,6.0,Average
282,Female,Rural,Under Graduate,20.0,8.0,Laptop,Middle Class,4.0,4.0,No,No,4.0,6.0,3.0,No,Yes,yes,61-70,4.0,3.0,Both,7.0,Average
283,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,3.0,4.0,No,Yes,4.0,8.0,2.0,Yes,Yes,yes,81-90,3.0,2.0,Both,8.0,Good
284,Male,Urban,Under Graduate,20.0,6.0,Laptop,Middle Class,3.0,5.0,Yes,Yes,4.0,6.0,4.0,Yes,No,No,71-80,3.0,3.0,Both,8.0,Average
285,Male,Urban,Under Graduate,18.0,4.0,Laptop,Middle Class,4.0,3.0,Yes,No,6.0,8.0,1.0,No,No,No,81-90,2.0,1.0,Practical,3.0,Bad
286,Female,Urban,Under Graduate,20.0,8.0,Laptop,Middle Class,4.0,3.0,No,No,3.0,7.0,2.0,No,Yes,yes,61-70,2.0,4.0,Both,6.0,Average
287,Male,Rural,Under Graduate,18.0,6.0,Laptop,Middle Class,3.0,3.0,No,No,6.0,7.0,3.0,Yes,Yes,No,71-80,4.0,4.0,Both,6.0,Average
288,Female,Urban,School,20.0,7.0,Laptop,Middle Class,4.0,4.0,No,No,4.0,8.0,4.0,Yes,Yes,No,71-80,2.0,2.0,Practical,8.0,Average
289,Male,Urban,School,20.0,8.0,Laptop,Middle Class,4.0,4.0,No,Yes,1.0,6.0,4.0,No,Yes,yes,61-70,1.0,1.0,Theory,7.0,Bad
290,Male,Rural,Under Graduate,17.0,5.0,Laptop,Rich,5.0,5.0,Yes,No,7.0,8.0,3.0,Yes,Yes,yes,91-100,4.0,3.0,Theory,7.0,Average
291,Male,Urban,Under Graduate,19.0,7.0,Laptop,Middle Class,5.0,3.0,Yes,No,2.0,6.0,3.0,No,Yes,yes,71-80,3.0,2.0,Practical,7.0,Bad
292,Female,Rural,Under Graduate,20.0,7.0,Laptop,Poor,5.0,4.0,No,Yes,6.0,6.0,1.0,Yes,Yes,yes,71-80,5.0,5.0,Practical,9.0,Good
293,Male,Urban,Under Graduate,19.0,5.0,Laptop,Middle Class,4.0,4.0,Yes,Yes,2.0,6.0,1.0,No,No,No,91-100,3.0,1.0,Practical,6.0,Average
294,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,4.0,5.0,No,Yes,2.0,4.0,4.0,No,No,yes,31-40,1.0,1.0,Practical,8.0,Good
295,Male,Rural,Under Graduate,20.0,6.0,Laptop,Middle Class,5.0,2.0,No,Yes,3.0,7.0,2.0,Yes,No,No,81-90,3.0,2.0,Practical,4.0,Bad
296,Male,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,4.0,4.0,No,Yes,6.0,7.0,1.0,No,Yes,yes,81-90,3.0,4.0,Both,7.0,Bad
297,Female,Urban,Under Graduate,21.0,7.0,Laptop,Middle Class,5.0,4.0,No,No,4.0,10.0,2.0,No,Yes,No,71-80,3.0,3.0,Both,8.0,Average
298,Female,Rural,Under Graduate,18.0,7.0,Laptop,Middle Class,4.0,3.0,Yes,Yes,7.0,8.0,5.0,Yes,Yes,No,71-80,2.0,2.0,Both,4.0,Bad
300,Male,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,3.0,2.0,No,No,3.0,7.0,4.0,Yes,No,No,81-90,3.0,2.0,Both,3.0,Bad
301,Female,Urban,Under Graduate,20.0,8.0,Laptop,Middle Class,5.0,5.0,No,No,3.0,8.0,3.0,Yes,Yes,yes,81-90,3.0,3.0,Both,6.0,Average
305,Male,Rural,Under Graduate,22.0,9.0,Laptop,Middle Class,5.0,3.0,Yes,Yes,3.0,7.0,2.0,Yes,No,yes,61-70,3.0,3.0,Practical,8.0,Average
306,Male,Urban,Post Graduate,21.0,8.0,Laptop,Middle Class,4.0,5.0,Yes,Yes,2.0,7.0,3.0,Yes,Yes,yes,91-100,4.0,3.0,Both,9.0,Average
307,Female,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,4.0,3.0,No,No,9.0,7.0,2.0,No,Yes,No,81-90,3.0,3.0,Both,5.0,Average
308,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,4.0,4.0,No,Yes,4.0,6.0,3.0,No,Yes,yes,71-80,4.0,4.0,Both,8.0,Average
309,Female,Urban,Under Graduate,20.0,4.0,Laptop,Middle Class,3.0,5.0,No,No,8.0,6.0,6.0,No,Yes,No,81-90,2.0,3.0,Both,8.0,Good
310,Male,Urban,Under Graduate,20.0,6.0,Laptop,Middle Class,4.0,3.0,Yes,Yes,6.0,7.0,2.0,Yes,Yes,yes,71-80,3.0,4.0,Practical,9.0,Bad
311,Female,Rural,Under Graduate,17.0,7.0,Laptop,Middle Class,4.0,3.0,Yes,Yes,8.0,6.0,2.0,No,Yes,No,81-90,5.0,5.0,Theory,8.0,Good
313,Female,Urban,Under Graduate,19.0,6.0,Laptop,Middle Class,3.0,3.0,No,Yes,6.0,7.0,1.0,No,Yes,yes,91-100,3.0,2.0,Both,8.0,Bad
314,Male,Rural,Under Graduate,21.0,8.0,Laptop,Middle Class,5.0,3.0,No,No,5.0,8.0,2.0,Yes,Yes,yes,61-70,3.0,3.0,Both,7.0,Average
316,Male,Urban,Under Graduate,21.0,7.0,Laptop,Middle Class,4.0,4.0,Yes,No,5.0,6.0,2.0,No,No,yes,81-90,4.0,5.0,Both,8.0,Average
317,Male,Urban,Under Graduate,20.0,8.0,Laptop,Middle Class,5.0,5.0,Yes,Yes,6.0,6.0,2.0,Yes,Yes,No,71-80,3.0,3.0,Practical,6.0,Good
318,Female,Urban,Under Graduate,18.0,4.0,Laptop,Middle Class,3.0,4.0,No,No,5.0,8.0,1.0,No,Yes,No,81-90,3.0,3.0,Theory,8.0,Good
320,Male,Urban,Under Graduate,20.0,9.0,Laptop,Middle Class,5.0,4.0,Yes,Yes,2.0,8.0,2.0,No,No,yes,71-80,4.0,4.0,Both,8.0,Average
321,Male,Urban,School,20.0,8.0,Laptop,Middle Class,4.0,5.0,No,No,3.0,5.0,4.0,Yes,No,No,81-90,3.0,2.0,Both,8.0,Bad
323,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,4.0,3.0,Yes,Yes,3.0,7.0,2.0,Yes,No,No,71-80,3.0,2.0,Practical,5.0,Average
324,Male,Urban,Under Graduate,21.0,7.0,Laptop,Middle Class,3.0,2.0,No,No,1.0,5.0,2.0,No,No,No,61-70,1.0,3.0,Theory,6.0,Good
325,Male,Urban,Under Graduate,21.0,6.0,Laptop,Middle Class,4.0,3.0,Yes,Yes,6.0,6.0,1.0,Yes,Yes,yes,31-40,1.0,3.0,Theory,6.0,Bad
326,Male,Urban,Under Graduate,19.0,8.0,Laptop,Middle Class,4.0,5.0,Yes,Yes,2.0,5.0,1.0,No,Yes,No,71-80,1.0,1.0,Practical,6.0,Average
327,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,4.0,4.0,Yes,No,4.0,4.0,3.0,No,Yes,No,81-90,3.0,3.0,Both,6.0,Average
328,Female,Urban,School,19.0,7.0,Laptop,Middle Class,4.0,4.0,No,Yes,4.0,8.0,2.0,No,Yes,yes,91-100,3.0,2.0,Both,5.0,Bad
329,Female,Urban,School,19.0,7.0,Laptop,Middle Class,5.0,5.0,No,Yes,2.0,7.0,2.0,No,No,yes,81-90,1.0,1.0,Both,6.0,Average
330,Male,Rural,Under Graduate,20.0,8.0,Laptop,Middle Class,5.0,4.0,No,No,1.0,8.0,3.0,No,Yes,yes,71-80,1.0,1.0,Both,8.0,Good
331,Female,Urban,Under Graduate,20.0,9.0,Laptop,Middle Class,4.0,3.0,No,No,3.0,7.0,4.0,No,Yes,No,71-80,2.0,2.0,Theory,5.0,Average
332,Female,Urban,School,20.0,6.0,Laptop,Middle Class,4.0,5.0,Yes,Yes,5.0,9.0,3.0,Yes,Yes,yes,81-90,3.0,1.0,Both,6.0,Bad
333,Female,Urban,Under Graduate,19.0,7.0,Laptop,Rich,4.0,5.0,No,Yes,5.0,4.0,2.0,No,Yes,yes,81-90,3.0,2.0,Both,4.0,Bad
334,Female,Urban,Under Graduate,19.0,7.0,Laptop,Middle Class,4.0,4.0,No,No,2.0,8.0,3.0,No,No,yes,81-90,3.0,2.0,Theory,9.0,Average
335,Male,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,4.0,5.0,Yes,Yes,1.0,6.0,4.0,Yes,No,yes,71-80,3.0,3.0,Practical,4.0,Average
336,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,4.0,4.0,Yes,No,4.0,4.0,2.0,Yes,Yes,No,81-90,3.0,3.0,Both,9.0,Average
337,Male,Urban,Under Graduate,20.0,7.0,Mobile,Middle Class,4.0,5.0,No,Yes,1.0,7.0,3.0,No,Yes,No,81-90,2.0,3.0,Both,6.0,Average
338,Male,Urban,Under Graduate,19.0,8.0,Mobile,Middle Class,4.0,4.0,Yes,No,6.0,8.0,1.0,Yes,No,No,81-90,4.0,4.0,Practical,8.0,Bad
339,Male,Rural,Under Graduate,20.0,9.0,Laptop,Middle Class,3.0,4.0,Yes,No,4.0,9.0,3.0,No,Yes,No,81-90,2.0,2.0,Practical,6.0,Average
340,Male,Urban,Under Graduate,20.0,6.0,Desktop,Middle Class,3.0,5.0,No,No,10.0,8.0,2.0,Yes,Yes,No,91-100,2.0,1.0,Both,8.0,Bad
342,Female,Urban,Under Graduate,19.0,6.0,Laptop,Middle Class,3.0,3.0,No,Yes,5.0,9.0,3.0,No,Yes,No,81-90,1.0,2.0,Both,3.0,Average
343,Male,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,4.0,5.0,Yes,No,4.0,8.0,4.0,Yes,Yes,No,71-80,3.0,3.0,Practical,7.0,Average
344,Female,Urban,Under Graduate,20.0,6.0,Laptop,Middle Class,4.0,5.0,Yes,No,4.0,7.0,2.0,No,No,yes,81-90,3.0,4.0,Practical,7.0,Good
345,Female,Urban,Under Graduate,20.0,7.0,Mobile,Middle Class,4.0,3.0,Yes,No,2.0,5.0,5.0,No,Yes,yes,91-100,2.0,3.0,Both,8.0,Average
347,Male,Urban,School,20.0,6.0,Laptop,Middle Class,4.0,4.0,Yes,No,5.0,6.0,2.0,Yes,Yes,No,51-60,2.0,2.0,Practical,6.0,Average
348,Male,Rural,Under Graduate,19.0,8.0,Mobile,Middle Class,4.0,4.0,No,No,6.0,7.0,3.0,Yes,No,No,81-90,2.0,3.0,Practical,5.0,Bad
350,Female,Urban,Under Graduate,21.0,8.0,Mobile,Middle Class,4.0,4.0,No,No,7.0,7.0,2.0,Yes,No,No,81-90,4.0,3.0,Practical,7.0,Average
351,Female,Rural,Under Graduate,21.0,9.0,Laptop,Middle Class,3.0,3.0,No,No,6.0,7.0,3.0,Yes,Yes,No,71-80,3.0,2.0,Both,4.0,Average
352,Male,Urban,Under Graduate,19.0,7.0,Mobile,Middle Class,4.0,4.0,No,Yes,4.0,6.0,3.0,No,Yes,yes,81-90,3.0,4.0,Both,8.0,Average
354,Female,Urban,Under Graduate,18.0,7.0,Laptop,Rich,4.0,5.0,Yes,Yes,4.0,7.0,3.0,No,Yes,yes,81-90,3.0,3.0,Theory,7.0,Good
355,Female,Urban,Under Graduate,19.0,7.0,Laptop,Middle Class,5.0,4.0,Yes,Yes,1.0,5.0,3.0,No,No,No,71-80,1.0,1.0,Theory,8.0,Bad
357,Male,Urban,Under Graduate,20.0,7.0,Laptop,Rich,4.0,4.0,Yes,No,3.0,3.0,3.0,No,No,No,71-80,4.0,4.0,Both,10.0,Bad
359,Female,Urban,Under Graduate,20.0,7.0,Laptop,Middle Class,4.0,4.0,No,No,3.0,6.0,5.0,Yes,Yes,yes,71-80,2.0,2.0,Theory,6.0,Bad
361,Female,Urban,Under Graduate,21.0,8.0,Mobile,Middle Class,4.0,4.0,Yes,Yes,5.0,4.0,3.0,No,Yes,yes,81-90,3.0,3.0,Theory,9.0,Average
