,Gender,Home Location,Level of Education,Age(Years),Number of Subjects,Device type used to attend classes,Economic status,Family size,Internet facility in your locality,Are you involved in any sports?,Do elderly people monitor you?,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Interested in Gaming?,Have separate room for studying?,Engaged in group studies?,Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Interested in?,Performance in online,Your level of satisfaction in Online Education
37,Male,Urban,Under Graduate,18.0,6.0,Laptop,Middle Class,4.0,3.0,No,Yes,3.0,7.0,1.0,No,No,No,71-80,4.0,4.0,Practical,8.0,Average
39,Female,Rural,Under Graduate,17.0,6.0,Laptop,Middle Class,4.0,4.0,No,No,7.0,9.0,3.0,No,Yes,No,81-90,4.0,3.0,Both,9.0,Good
41,Female,Urban,School,19.0,5.0,Laptop,Middle Class,3.0,4.0,No,Yes,4.0,6.0,4.0,No,Yes,No,71-80,2.0,1.0,Theory,4.0,Bad
42,Male,Urban,Post Graduate,21.0,6.0,Mobile,Middle Class,4.0,3.0,No,Yes,3.0,7.0,3.0,Yes,Yes,yes,11-20,4.0,2.0,Both,4.0,Good
43,Female,Urban,Under Graduate,19.0,5.0,Laptop,Middle Class,6.0,4.0,No,Yes,7.0,6.0,1.0,No,Yes,yes,81-90,3.0,3.0,Practical,6.0,Average
45,Male,Urban,Under Graduate,21.0,7.0,Mobile,Middle Class,4.0,3.0,No,No,3.0,8.0,3.0,Yes,Yes,yes,71-80,2.0,2.0,Practical,8.0,Average
46,Female,Urban,Post Graduate,21.0,7.0,Mobile,Middle Class,5.0,3.0,No,No,3.0,5.0,3.0,Yes,Yes,No,71-80,2.0,3.0,Theory,6.0,Average
47,Female,Urban,Under Graduate,21.0,9.0,Laptop,Middle Class,5.0,3.0,No,No,4.0,10.0,3.0,No,Yes,No,41-50,2.0,3.0,Theory,6.0,Good
48,Male,Urban,Post Graduate,21.0,6.0,Desktop,Middle Class,5.0,2.0,No,Yes,3.0,6.0,3.0,Yes,Yes,No,81-90,3.0,2.0,Practical,6.0,Average
51,Male,Rural,Post Graduate,19.0,7.0,Mobile,Middle Class,4.0,3.0,No,No,1.0,7.0,3.0,No,No,No,71-80,3.0,3.0,Practical,7.0,Average
