,Age(Years),Number of Subjects,Family size,Internet facility in your locality,Study time (Hours),Sleep time (Hours),Time spent on social media (Hours),Average marks scored before pandemic in traditional classroom,Your interaction in online mode,Clearing doubts with faculties in online mode,Performance in online
118,19,6,4,3,3,7,2,71-80,4,4,8
119,20,8,4,2,3,8,2,81-90,2,3,7
120,19,7,5,4,8,6,1,81-90,1,4,8
121,18,8,4,4,7,6,1,81-90,3,3,6
122,20,6,6,2,5,8,3,81-90,3,2,5
123,18,7,4,5,6,7,1,91-100,3,3,7
124,19,7,4,4,4,8,2,91-100,3,3,8
125,18,8,4,4,2,6,1,91-100,1,3,4
126,19,7,4,4,3,7,1,61-70,2,3,6
127,19,6,5,3,3,8,2,71-80,3,3,8
128,18,8,4,3,7,5,1,91-100,3,3,7
129,19,6,4,2,4,6,2,81-90,2,3,8
130,17,4,4,5,2,8,6,91-100,1,1,2
131,18,7,4,3,3,8,4,81-90,2,2,6
132,19,8,4,4,4,6,1,81-90,2,3,5
133,19,7,4,2,8,9,1,81-90,1,1,8
134,18,8,4,4,4,7,1,81-90,4,3,9
135,18,8,4,4,3,5,4,91-100,3,3,8
136,19,7,9,3,4,5,2,81-90,3,3,6
137,21,6,4,4,5,6,2,71-80,3,3,7
138,19,8,4,5,8,8,1,91-100,4,4,9
139,18,8,4,4,3,8,3,61-70,3,2,4
140,18,6,4,4,3,8,3,91-100,3,4,7
141,19,8,5,4,5,6,2,81-90,3,4,6
142,18,8,4,3,7,7,2,81-90,3,2,6
143,22,4,4,5,2,8,1,81-90,2,2,9
144,20,7,3,2,5,7,2,81-90,5,5,8
145,19,8,4,4,4,8,3,51-60,3,4,7
146,19,7,4,3,4,8,2,71-80,2,1,6
147,19,8,4,4,5,3,3,81-90,3,2,8
148,20,7,3,4,8,8,4,81-90,2,3,6
149,20,6,4,4,5,6,1,81-90,1,1,6
150,20,7,3,2,2,6,1,81-90,1,2,3
151,21,1,10,3,2,8,10,31-40,2,2,6
152,20,8,5,4,10,9,3,91-100,2,2,6
153,19,8,6,3,2,6,1,91-100,2,2,5
154,20,7,4,4,5,7,3,81-90,2,2,6
155,18,7,3,4,6,7,1,91-100,4,3,8
156,19,7,4,4,5,7,4,81-90,3,3,8
157,19,20,4,5,3,6,2,91-100,3,2,5
158,20,14,4,5,6,8,3,71-80,2,2,7
159,21,8,4,2,4,8,4,81-90,3,3,4
160,21,16,6,5,2,6,3,91-100,4,4,9
161,18,7,4,5,5,8,8,91-100,3,4,10
162,18,6,4,3,6,6,3,81-90,3,4,6
163,19,8,4,4,3,6,2,71-80,2,3,7
164,19,6,3,4,1,6,5,81-90,2,4,7
165,20,6,3,4,4,7,2,81-90,2,2,8
166,19,8,5,5,5,8,2,91-100,3,3,10
167,19,8,4,3,4,8,4,81-90,2,3,7
168,20,6,4,4,2,7,2,81-90,4,4,7
169,18,6,4,5,5,6,4,81-90,2,2,9
170,19,7,4,4,1,7,3,91-100,2,3,8
171,20,7,3,5,2,7,3,71-80,3,2,6
172,19,8,4,4,5,8,3,81-90,1,1,7
173,20,7,3,5,1,7,1,71-80,1,1,8
174,18,7,4,4,4,8,7,91-100,3,3,5
175,21,2,4,5,1,6,7,61-70,5,5,10
176,19,7,6,5,4,9,2,91-100,3,3,10
177,22,6,8,5,4,7,2,71-80,4,3,8
178,20,8,3,4,7,8,2,91-100,4,3,8
179,22,14,4,3,7,7,5,71-80,2,2,6
180,18,8,5,4,3,8,3,71-80,1,1,7
181,19,8,5,3,8,6,5,81-90,1,1,5
182,20,7,4,4,1,8,6,71-80,2,1,5
183,19,7,4,5,4,5,1,81-90,3,3,8
184,19,5,3,3,1,6,1,71-80,1,2,6
185,21,4,4,5,2,8,1,91-100,3,5,10
186,20,6,5,5,2,8,3,61-70,1,1,5
187,20,7,3,5,8,7,1,81-90,2,2,7
188,18,8,5,4,4,7,2,71-80,3,1,7
189,19,8,5,5,2,7,1,91-100,2,1,8
190,19,8,4,5,6,7,2,91-100,3,3,8
191,19,20,4,5,4,10,2,91-100,3,2,6
192,21,7,4,4,4,6,1,71-80,2,2,9
193,18,5,4,4,7,7,2,91-100,3,3,7
194,22,6,3,5,5,7,2,71-80,3,1,7
195,19,8,3,5,7,4,3,91-100,3,2,8
196,19,3,5,5,9,7,1,71-80,3,3,8
197,17,6,4,5,5,7,1,81-90,4,4,8
198,20,7,5,5,4,5,2,81-90,2,3,5
199,21,5,4,4,10,1,3,81-90,3,4,6
200,17,5,6,4,5,10,6,61-70,3,3,6
201,20,8,3,4,6,8,1,71-80,3,2,8
202,19,6,3,4,9,7,2,91-100,2,3,7
203,20,11,4,5,5,7,3,81-90,3,2,8
204,18,6,6,4,4,9,5,91-100,3,3,10
205,19,3,4,5,8,6,3,71-80,3,4,7
206,19,7,6,2,6,5,2,71-80,5,5,10
207,21,5,3,2,5,7,4,81-90,2,3,6
208,19,7,7,2,10,7,1,71-80,1,3,2
209,18,8,4,5,6,7,4,91-100,1,1,7
210,19,6,4,4,3,8,1,71-80,3,4,8
211,20,9,5,3,3,4,8,91-100,3,2,4
212,19,7,4,4,2,7,4,91-100,3,2,6
213,19,6,3,3,4,6,3,91-100,3,3,8
214,20,1,6,5,5,5,3,91-100,3,3,8
215,19,5,4,5,5,8,2,81-90,2,3,10
216,19,5,3,5,4,7,3,91-100,3,3,7
217,19,7,4,3,1,4,6,81-90,4,1,4
218,19,9,6,5,8,7,1,91-100,2,1,8
219,20,7,3,4,4,7,4,91-100,4,4,9
220,18,7,4,5,3,10,2,91-100,4,3,7
221,20,7,4,5,3,6,2,91-100,1,1,5
222,20,8,5,4,3,8,5,61-70,3,3,6
223,20,7,5,4,3,6,4,71-80,2,2,4
224,19,7,4,5,4,6,1,81-90,3,3,8
225,21,9,5,5,4,7,1,81-90,3,3,8
226,19,7,4,4,5,8,2,81-90,3,2,7
227,19,7,3,3,3,5,4,81-90,3,2,5
228,19,7,4,2,3,6,1,81-90,2,4,7
229,20,20,4,5,3,8,2,91-100,1,2,10
230,17,5,4,3,2,7,1,81-90,2,3,5
231,17,5,4,5,2,8,3,71-80,3,3,7
232,18,7,6,5,4,6,2,71-80,3,2,6
233,18,6,3,4,3,6,2,71-80,3,3,7
234,19,7,4,3,7,6,1,91-100,3,3,8
235,18,7,3,4,4,6,2,91-100,4,4,6
236,20,8,3,4,3,8,9,71-80,3,3,6
237,20,7,3,4,3,7,1,81-90,3,2,7
238,17,5,4,3,2,5,2,81-90,3,2,6
239,20,8,5,4,4,5,3,81-90,4,4,8
240,17,6,5,4,8,4,2,81-90,2,1,7
241,38,8,4,5,10,5,3,91-100,5,5,9
242,17,6,5,4,5,7,8,71-80,2,3,6
243,20,8,3,4,3,8,9,71-80,2,3,6
244,19,6,4,3,4,7,1,81-90,3,3,6
245,20,7,4,5,2,5,5,81-90,3,3,6
246,17,6,4,4,1,10,8,71-80,2,3,7
247,19,20,4,2,2,9,3,71-80,3,2,7
248,20,8,5,2,3,5,1,71-80,1,4,4
249,20,8,4,4,2,7,2,71-80,2,2,5
250,20,8,10,5,7,6,1,91-100,2,1,8
251,18,8,4,2,3,7,1,61-70,3,1,7
252,20,7,4,3,3,7,2,81-90,3,3,6
253,20,8,4,3,1,5,1,81-90,4,3,7
254,19,7,4,3,2,7,4,81-90,2,3,7
255,20,18,3,4,6,8,2,71-80,2,1,4
256,18,5,4,4,2,5,3,81-90,2,3,4
257,19,7,4,1,10,5,2,81-90,1,1,4
258,19,7,3,4,4,6,2,81-90,3,2,8
259,19,5,6,5,8,8,5,71-80,4,4,10
260,18,5,6,5,2,6,2,81-90,2,1,2
261,20,7,5,4,3,5,3,71-80,4,2,7
262,18,8,4,4,3,6,2,81-90,1,1,5
263,20,7,5,5,5,6,3,51-60,3,4,7
264,17,6,4,2,3,7,2,71-80,3,3,7
265,18,6,4,3,4,7,1,81-90,1,3,6
266,18,6,3,5,5,7,3,91-100,5,5,10
267,18,6,3,3,8,1,1,91-100,3,3,4
268,20,7,4,4,1,9,10,61-70,1,1,2
269,19,8,4,5,4,8,3,71-80,3,1,7
270,19,8,5,4,10,10,4,71-80,4,5,10
271,18,5,6,4,6,5,2,81-90,3,3,7
272,18,7,4,5,10,4,1,91-100,4,3,9
273,18,4,4,5,6,7,2,71-80,3,5,8
274,18,5,4,4,3,7,4,81-90,3,3,6
275,20,8,6,3,6,6,1,91-100,4,3,6
276,21,8,5,4,2,8,2,61-70,3,3,6
277,19,9,4,5,6,8,1,81-90,5,3,5
278,18,7,4,4,3,6,5,61-70,2,5,7
279,20,7,5,2,2,6,2,81-90,3,3,6
280,19,6,4,5,3,7,4,71-80,3,1,6
281,19,3,8,4,2,10,1,91-100,1,1,8
282,20,8,4,4,4,6,3,61-70,4,3,7
283,20,7,3,4,4,8,2,81-90,3,2,8
284,20,6,3,5,4,6,4,71-80,3,3,8
285,18,4,4,3,6,8,1,81-90,2,1,3
286,20,8,4,3,3,7,2,61-70,2,4,6
287,18,6,3,3,6,7,3,71-80,4,4,6
288,20,7,4,4,4,8,4,71-80,2,2,8
289,20,8,4,4,1,6,4,61-70,1,1,7
290,17,5,5,5,7,8,3,91-100,4,3,7
291,19,7,5,3,2,6,3,71-80,3,2,7
292,20,7,5,4,6,6,1,71-80,5,5,9
293,19,5,4,4,2,6,1,91-100,3,1,6
294,20,7,4,5,2,4,4,31-40,1,1,8
295,20,6,5,2,3,7,2,81-90,3,2,4
296,19,8,4,4,6,7,1,81-90,3,4,7
297,21,7,5,4,4,10,2,71-80,3,3,8
298,18,7,4,3,7,8,5,71-80,2,2,4
299,19,6,5,4,1,7,2,81-90,1,1,2
300,18,6,3,2,3,7,4,81-90,3,2,3
301,20,8,5,5,3,8,3,81-90,3,3,6
302,20,8,4,2,5,3,1,21-30,2,3,2
303,20,6,10,4,3,7,2,71-80,3,3,8
304,20,20,9,2,3,4,2,81-90,1,1,8
305,22,9,5,3,3,7,2,61-70,3,3,8
306,21,8,4,5,2,7,3,91-100,4,3,9
307,18,6,4,3,9,7,2,81-90,3,3,5
308,20,7,4,4,4,6,3,71-80,4,4,8
309,20,4,3,5,8,6,6,81-90,2,3,8
310,20,6,4,3,6,7,2,71-80,3,4,9
311,17,7,4,3,8,6,2,81-90,5,5,8
312,21,20,3,4,5,10,3,81-90,3,3,7
313,19,6,3,3,6,7,1,91-100,3,2,8
314,21,8,5,3,5,8,2,61-70,3,3,7
315,20,8,2,4,10,6,1,71-80,3,4,6
316,21,7,4,4,5,6,2,81-90,4,5,8
317,20,8,5,5,6,6,2,71-80,3,3,6
318,18,4,3,4,5,8,1,81-90,3,3,8
319,21,5,5,4,3,7,9,61-70,2,1,4
320,20,9,5,4,2,8,2,71-80,4,4,8
321,20,8,4,5,3,5,4,81-90,3,2,8
322,17,7,10,4,3,7,2,81-90,2,3,5
323,20,7,4,3,3,7,2,71-80,3,2,5
324,21,7,3,2,1,5,2,61-70,1,3,6
325,21,6,4,3,6,6,1,31-40,1,3,6
326,19,8,4,5,2,5,1,71-80,1,1,6
327,20,7,4,4,4,4,3,81-90,3,3,6
328,19,7,4,4,4,8,2,91-100,3,2,5
329,19,7,5,5,2,7,2,81-90,1,1,6
330,20,8,5,4,1,8,3,71-80,1,1,8
331,20,9,4,3,3,7,4,71-80,2,2,5
332,20,6,4,5,5,9,3,81-90,3,1,6
333,19,7,4,5,5,4,2,81-90,3,2,4
334,19,7,4,4,2,8,3,81-90,3,2,9
335,18,6,4,5,1,6,4,71-80,3,3,4
336,20,7,4,4,4,4,2,81-90,3,3,9
337,20,7,4,5,1,7,3,81-90,2,3,6
338,19,8,4,4,6,8,1,81-90,4,4,8
339,20,9,3,4,4,9,3,81-90,2,2,6
340,20,6,3,5,10,8,2,91-100,2,1,8
341,19,9,4,1,2,7,2,81-90,3,3,9
342,19,6,3,3,5,9,3,81-90,1,2,3
343,20,7,4,5,4,8,4,71-80,3,3,7
344,20,6,4,5,4,7,2,81-90,3,4,7
345,20,7,4,3,2,5,5,91-100,2,3,8
346,20,8,10,3,5,6,2,71-80,4,4,8
347,20,6,4,4,5,6,2,51-60,2,2,6
348,19,8,4,4,6,7,3,81-90,2,3,5
349,20,1,3,5,1,7,1,61-70,3,5,10
350,21,8,4,4,7,7,2,81-90,4,3,7
351,21,9,3,3,6,7,3,71-80,3,2,4
352,19,7,4,4,4,6,3,81-90,3,4,8
353,22,8,8,3,3,6,2,71-80,3,3,8
354,18,7,4,5,4,7,3,81-90,3,3,7
355,19,7,5,4,1,5,3,71-80,1,1,8
356,21,3,10,5,3,8,1,81-90,2,2,6
357,20,7,4,4,3,3,3,71-80,4,4,10
358,19,5,8,2,4,7,1,81-90,2,4,5
359,20,7,4,4,3,6,5,71-80,2,2,6
360,22,4,4,4,3,6,7,61-70,4,4,10
361,21,8,4,4,5,4,3,81-90,3,3,9
362,20,8,4,3,4,5,3,71-80,2,2,6
363,21,9,5,4,4,7,3,11-20,2,1,5
364,20,8,2,5,3,7,4,71-80,5,3,8
365,20,8,6,4,3,7,1,81-90,1,1,6
366,19,7,3,4,2,8,4,91-100,3,1,8
367,23,20,5,5,1,9,8,81-90,2,1,5
368,20,7,5,5,6,7,3,71-80,3,3,7
369,20,9,4,4,3,6,2,81-90,3,2,6
370,18,4,4,5,2,7,3,81-90,2,1,8
371,19,7,4,5,5,7,5,91-100,1,2,10
372,19,5,3,5,5,6,1,81-90,2,3,7
373,19,5,4,2,5,6,2,81-90,3,3,6
374,20,7,4,4,3,8,3,81-90,3,4,6
375,20,7,5,3,5,8,5,81-90,1,1,2
376,21,7,6,4,4,6,3,81-90,3,2,8
377,20,4,4,5,1,6,2,61-70,1,1,8
378,18,6,4,3,7,7,3,81-90,1,1,2
379,20,7,4,4,2,7,8,71-80,2,3,6
380,20,8,5,5,4,7,2,81-90,2,2,5
381,19,4,4,3,2,8,2,51-60,2,1,3
382,19,7,5,5,2,6,4,81-90,2,1,5
383,19,8,4,3,2,6,3,91-100,4,2,6
384,20,6,4,3,2,7,4,71-80,2,2,6
385,19,7,6,2,1,8,3,91-100,3,1,4
386,21,6,4,4,7,6,1,61-70,1,1,7
387,21,7,4,3,2,6,4,61-70,2,2,6
388,19,7,4,5,4,6,2,91-100,1,1,2
389,20,8,3,3,3,5,1,91-100,2,1,6
390,22,8,3,4,4,6,3,91-100,2,2,5
391,22,5,4,4,4,8,2,61-70,3,4,6
392,22,6,5,2,6,6,2,61-70,3,3,6
393,37,12,4,3,3,5,1,51-60,3,3,6
394,22,5,3,4,7,8,4,71-80,4,4,8
395,22,4,6,3,6,5,1,81-90,2,2,6
396,22,5,4,2,6,6,4,71-80,3,3,7
397,20,7,3,3,5,8,4,81-90,2,1,5
398,20,7,6,5,3,8,2,91-100,1,3,6
399,22,6,5,3,7,6,2,61-70,3,3,6
400,12,12,4,2,10,8,1,91-100,4,4,8
401,40,10,4,5,3,6,1,11-20,5,4,9
402,22,6,4,3,9,6,3,61-70,3,3,6
403,23,5,7,3,7,7,3,71-80,3,3,4
404,23,5,4,2,8,7,3,81-90,4,3,6
405,24,5,4,2,10,7,1,61-70,3,2,6
406,22,5,6,2,2,8,1,71-80,2,1,3
407,19,8,3,5,10,5,8,91-100,4,1,6
408,21,20,4,4,4,7,2,81-90,3,4,7
409,21,5,5,5,5,6,2,61-70,3,3,6
410,21,5,6,3,5,4,1,81-90,3,2,4
411,21,5,4,2,3,5,2,71-80,3,2,8
412,20,4,5,5,2,7,2,71-80,4,3,8
413,25,20,4,4,3,8,2,51-60,5,5,9
414,21,4,4,4,5,7,2,81-90,4,3,6
415,23,6,4,4,2,7,1,61-70,5,5,9
416,21,3,4,4,4,8,3,61-70,4,3,6
417,23,6,4,2,6,8,2,51-60,4,4,6
